YEAR,Gaps 5-15 min,All anomalies (any length),Decision
2001,3719,59870,Stress
2002,3009,51025,Stress
2003,1542,36445,Extended Baseline
2004,1062,36942,Extended Baseline
2005,1226,48494,Extended Baseline
2006,1923,57051,Extended Baseline
2007,2347,62222,Extended Baseline
2008,488,29410,Core Baseline
2009,277,22018,Core Baseline
2010,359,26829,Core Baseline
2011,202,20047,Core Baseline
2012,5,1855,Core Baseline
2013,3,2785,Core Baseline
2014,13,9259,Core Baseline
2015,2,1423,Core Baseline
2016,4,1580,Core Baseline
2017,3,1954,Core Baseline
2018,16,1995,Core Baseline
2019,1,484,Core Baseline
2020,26,1791,Core Baseline
2021,40,5670,Core Baseline
2022,20,1891,Core Baseline
2023,55,2753,Core Baseline
2024,42,3051,Core Baseline
2025-08,1,884,Core Baseline
