year,prev_eom_month,prev_eom_nav,next_first_month,next_first_nav,delta_abs,factor_s,cashflow_ccy
2008,2008-12,115063.86,2009-01,100000.0,-15063.86,1.150639,15063.86
2009,2009-12,118664.51,2010-01,100000.0,-18664.51,1.186645,18664.51
2010,2010-12,129925.56,2011-01,100000.0,-29925.56,1.299256,29925.56
2011,2011-12,108553.61,2012-01,100000.0,-8553.61,1.085536,8553.61
2012,2012-12,100014.75,2013-01,100000.0,-14.75,1.000148,14.75
2013,2013-12,102808.82,2014-01,100000.0,-2808.82,1.028088,2808.82
2014,2014-12,100434.79,2015-01,100000.0,-434.79,1.004348,434.79
2015,2015-12,121558.6,2016-01,100000.0,-21558.6,1.215586,21558.6
2016,2016-12,112077.68,2017-01,100000.0,-12077.68,1.120777,12077.68
2017,2017-12,105849.64,2018-01,100000.0,-5849.64,1.058496,5849.64
2018,2018-11,102671.44,2019-01,100000.0,-2671.44,1.026714,2671.44
2019,2019-10,100881.29,2020-01,100000.0,-881.29,1.008813,881.29
2020,2020-12,112753.34,2021-01,100000.0,-12753.34,1.127533,12753.34
2021,2021-11,101180.79,2022-01,100000.0,-1180.79,1.011808,1180.79
2022,2022-12,107260.93,2023-01,100000.0,-7260.93,1.072609,7260.93
2023,2023-12,97299.51,2024-01,100000.0,2700.49,0.972995,-2700.49
2024,2024-12,102201.89,2025-01,100000.0,-2201.89,1.022019,2201.89
