date,roll_12m_return,roll_12m_sharpe
2009-12-31,0.170681,1.0667
2010-01-31,0.081762,0.7198
2010-02-28,0.091694,0.8165
2010-03-31,0.027342,0.3428
2010-04-30,0.053431,0.6301
2010-05-31,0.09867,0.897
2010-06-30,0.151468,1.4074
2010-07-31,0.126251,1.2211
2010-08-31,0.147348,1.5344
2010-09-30,0.108682,1.0978
2010-10-31,0.109332,1.103
2010-11-30,0.134422,1.3016
2010-12-31,0.181443,1.7135
2011-01-31,0.137958,1.326
2011-02-28,0.170448,1.732
2011-03-31,0.191271,1.8978
2011-04-30,0.177056,1.7509
2011-05-31,0.050774,0.6373
2011-06-30,0.055439,0.6841
2011-07-31,0.052204,0.6486
2011-08-31,0.087767,1.1302
2011-09-30,0.174114,1.952
2011-10-31,0.091438,0.8835
2011-11-30,0.029294,0.3191
2011-12-31,-0.035995,-0.2921
2012-01-31,-0.023633,-0.1734
2012-02-29,0.010182,0.1413
2012-03-31,-0.027737,-0.2056
2012-04-30,-0.031548,-0.2413
2012-05-31,0.011064,0.1545
2012-06-30,-0.046918,-0.4061
2012-07-31,-0.099633,-0.8694
2012-08-31,-0.078859,-0.6318
2012-09-30,-0.114715,-1.1476
2012-10-31,-0.060203,-0.6271
2012-11-30,-0.042415,-0.4428
2012-12-31,-0.002401,0.01
2013-01-31,-0.033356,-0.3462
2013-02-28,-0.076851,-0.9998
2013-03-31,-0.060416,-0.7576
2013-04-30,-0.067121,-0.8468
2013-05-31,-0.084963,-1.0912
2013-06-30,-0.051821,-0.7044
2013-07-31,-0.017094,-0.2856
2013-08-31,-0.03328,-0.707
2013-09-30,-0.033493,-0.7132
2013-10-31,-0.032024,-0.674
2013-11-30,-0.028716,-0.6064
2013-12-31,-0.021064,-0.4133
2014-01-31,0.011417,0.2968
2014-02-28,0.045491,1.0326
2014-03-31,0.035868,0.8236
2014-04-30,0.046677,1.1163
2014-05-31,0.052986,1.348
2014-06-30,0.0709,1.7351
2014-07-31,0.085064,2.3472
2014-08-31,0.069838,1.9629
2014-09-30,0.056781,1.676
2014-10-31,0.014784,0.33
2014-11-30,0.052335,0.9465
2014-12-31,0.076937,1.1745
2015-01-31,0.062815,0.9499
2015-02-28,0.052031,0.821
2015-03-31,0.163364,1.3342
2015-04-30,0.207699,1.6346
2015-05-31,0.214687,1.6999
2015-06-30,0.246947,1.8823
2015-07-31,0.340672,2.3111
2015-08-31,0.34488,2.346
2015-09-30,0.326374,2.1853
2015-10-31,0.401799,2.896
2015-11-30,0.397894,2.8727
2015-12-31,0.374816,2.739
2016-01-31,0.410267,3.0944
2016-02-29,0.391398,2.9009
2016-03-31,0.267993,2.8925
2016-04-30,0.253687,2.8176
2016-05-31,0.283784,3.2734
2016-06-30,0.247322,3.0266
2016-07-31,0.182241,3.9944
2016-08-31,0.196879,4.4689
2016-09-30,0.224694,6.9736
2016-10-31,0.228588,6.8297
2016-11-30,0.143955,2.1096
2016-12-31,0.128317,1.924
2017-01-31,0.126485,1.9041
2017-02-28,0.134166,2.0413
2017-03-31,0.141085,2.1424
2017-04-30,0.11233,1.7733
2017-05-31,0.094327,1.5257
2017-06-30,0.080302,1.3091
2017-07-31,0.057561,0.971
2017-08-31,0.06242,1.0305
2017-09-30,0.070823,1.1353
2017-10-31,0.032865,0.5816
2017-11-30,0.07918,2.4125
2017-12-31,0.079336,2.4164
2018-01-31,0.072929,2.3395
2018-02-28,0.095295,2.5041
2018-03-31,0.087373,2.3332
2018-04-30,0.079118,2.0016
2018-05-31,0.093311,2.2855
2018-06-30,0.050615,0.8416
2018-07-31,0.060766,1.0065
2018-08-31,0.063528,1.0371
2018-09-30,0.040272,0.6923
2018-10-31,0.049071,0.851
2018-11-30,0.03615,0.6173
2018-12-31,0.020761,0.3662
2019-01-31,-0.001562,0.0029
2019-02-28,-0.027458,-0.4879
2019-03-31,-0.043065,-0.7883
2019-04-30,-0.033328,-0.5988
2019-05-31,-0.048611,-0.9639
2019-06-30,-0.008554,-0.2424
2019-07-31,-0.005,-0.1297
2019-08-31,-0.02272,-0.9303
2019-09-30,-0.014412,-0.5551
2019-10-31,-0.010035,-0.3728
2019-11-30,0.001772,0.0867
2019-12-31,0.013748,0.6188
2020-01-31,0.025756,1.4478
2020-02-29,0.025696,1.4439
2020-03-31,0.063463,2.4389
2020-04-30,0.055271,1.9926
2020-05-31,0.050259,1.7405
2020-06-30,0.062962,2.0627
2020-07-31,0.062423,2.0526
2020-08-31,0.082745,2.2833
2020-09-30,0.082071,2.2642
2020-10-31,0.077287,2.1035
2020-11-30,0.060332,1.4256
2020-12-31,0.058844,1.3912
2021-01-31,0.063046,1.4974
2021-02-28,0.06607,1.5773
2021-03-31,0.046503,1.3301
2021-04-30,0.050176,1.4635
2021-05-31,0.062567,1.8812
2021-06-30,0.051272,1.6202
2021-07-31,0.040502,1.3098
2021-08-31,0.016233,0.7757
2021-09-30,0.010833,0.5326
2021-10-31,-0.004663,-0.1658
2021-11-30,0.005483,0.2664
2021-12-31,0.00179,0.0947
2022-01-31,-0.00217,-0.0959
2022-02-28,0.008903,0.3674
2022-03-31,0.026505,0.7791
2022-04-30,0.022863,0.6648
2022-05-31,0.032992,0.877
2022-06-30,0.011765,0.2924
2022-07-31,-0.010568,-0.1955
2022-08-31,-0.000766,0.0075
2022-09-30,0.012937,0.2721
2022-10-31,0.062634,1.0904
2022-11-30,0.021397,0.3159
2022-12-31,0.011906,0.1906
2023-01-31,-0.01834,-0.1866
2023-02-28,0.004719,0.0937
2023-03-31,-0.024464,-0.2468
2023-04-30,-0.0083,-0.0553
2023-05-31,-0.005902,-0.0269
2023-06-30,0.001543,0.0576
2023-07-31,0.019883,0.2748
2023-08-31,0.013523,0.2002
2023-09-30,-0.010318,-0.0879
2023-10-31,-0.042437,-0.5514
2023-11-30,0.000653,0.0379
2023-12-31,0.01824,0.3359
2024-01-31,0.055519,1.1655
2024-02-29,0.033666,0.9937
2024-03-31,0.045963,1.38
2024-04-30,0.027377,0.8308
2024-05-31,0.013279,0.4895
2024-06-30,0.035238,1.3259
2024-07-31,0.04541,1.7684
2024-08-31,0.046818,1.8197
2024-09-30,0.058646,2.7743
2024-10-31,0.070162,3.332
2024-11-30,0.034304,0.7675
2024-12-31,0.033918,0.76
2025-01-31,0.074091,1.1903
2025-02-28,0.07201,1.1644
2025-03-31,0.067595,1.0955
2025-04-30,0.074281,1.2167
2025-05-31,0.068281,1.1179
2025-06-30,0.070252,1.1446
2025-07-31,0.064272,1.0476
