year,month,ret_m
2009,1,0.108919
2009,2,-0.038556
2009,3,0.071452
2009,4,-0.013909
2009,5,0.030636
2009,6,-0.030083
2009,7,0.032941
2009,8,-0.043635
2009,9,0.012063
2009,10,0.020545
2009,11,0.008113
2009,12,-0.009408
2010,1,0.0292
2010,2,-0.027176
2010,3,0.011023
2010,4,0.012075
2010,5,0.072135
2010,6,0.0165
2010,7,0.00967
2010,8,-0.026028
2010,9,-0.02219
2010,10,0.020561
2010,11,0.030211
2010,12,0.031585
2011,1,-0.009273
2011,2,0.000998
2011,3,0.029014
2011,4,0.000326
2011,5,-0.040414
2011,6,0.021866
2011,7,0.006337
2011,8,0.006118
2011,9,0.054323
2011,10,-0.051998
2011,11,-0.028823
2011,12,-0.033577
2012,1,0.003649
2012,2,0.035197
2012,3,-0.009485
2012,4,-0.003566
2012,5,0.002631
2012,6,-0.036965
2012,7,-0.048696
2012,8,0.030311
2012,9,0.014649
2012,10,0.008107
2012,11,-0.009035
2012,12,0.007264
2013,1,-0.029833
2013,2,-0.011293
2013,3,0.007908
2013,4,-0.010812
2013,5,-0.016598
2013,6,-0.001467
2013,7,-0.013703
2013,8,0.014055
2013,9,0.014863
2013,10,0.009509
2013,11,-0.005714
2013,12,0.015301
2014,1,0.00546
2014,2,0.022509
2014,3,-0.001011
2014,4,0.0
2014,5,-0.010119
2014,6,0.015814
2014,7,0.0
2014,8,0.0
2014,9,0.00229
2014,10,-0.030922
2014,11,0.030759
2014,12,0.038614
2015,1,-0.009138
2015,2,0.011322
2015,3,0.101708
2015,4,0.035141
2015,5,-0.006375
2015,6,0.039995
2015,7,0.073967
2015,8,0.001811
2015,9,-0.011908
2015,10,0.02405
2015,11,0.027942
2015,12,0.021097
2016,1,0.017077
2016,2,-0.002152
2016,3,0.005804
2016,4,0.025857
2016,5,0.019282
2016,6,0.011755
2016,7,0.018596
2016,8,0.015125
2016,9,0.0113
2016,10,0.027737
2016,11,-0.043634
2016,12,0.006975
2017,1,0.015282
2017,2,0.005546
2017,3,0.012781
2017,4,0.000328
2017,5,0.002883
2017,6,-0.000106
2017,7,-0.002745
2017,8,0.019522
2017,9,0.019395
2017,10,-0.008544
2017,11,0.000375
2017,12,0.008096
2018,1,0.009803
2018,2,0.026312
2018,3,0.005597
2018,4,-0.007161
2018,5,0.015704
2018,6,-0.039313
2018,7,0.007035
2018,8,0.022561
2018,9,-0.002782
2018,10,0.0
2018,11,-0.012221
2018,12,-0.006947
2019,1,-0.012043
2019,2,0.0
2019,3,-0.010627
2019,4,0.002985
2019,5,0.000124
2019,6,0.001613
2019,7,0.010753
2019,8,0.004427
2019,9,0.005699
2019,10,0.00438
2019,11,0.0
2019,12,0.00504
2020,1,0.0
2020,2,-0.000117
2020,3,0.021976
2020,4,-0.005311
2020,5,-0.004805
2020,6,0.013186
2020,7,0.010124
2020,8,0.023515
2020,9,0.005177
2020,10,0.0
2020,11,-0.015946
2020,12,0.00353
2021,1,0.003915
2021,2,0.002736
2021,3,0.007108
2021,4,-0.001246
2021,5,0.007073
2021,6,0.002934
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,-0.015439
2021,11,-0.005962
2021,12,0.0
2022,1,0.0
2022,2,0.013287
2022,3,0.023698
2022,4,-0.00537
2022,5,0.016405
2022,6,-0.0184
2022,7,-0.023581
2022,8,0.008863
2022,9,0.01102
2022,10,0.030908
2022,11,-0.045774
2022,12,-0.009826
2023,1,-0.030925
2023,2,0.037143
2023,3,-0.005731
2023,4,0.011461
2023,5,0.019308
2023,6,-0.010479
2023,7,-0.004546
2023,8,0.003316
2023,9,-0.01031
2023,10,-0.000882
2023,11,-0.001595
2023,12,0.007724
2024,1,0.005565
2024,2,0.01594
2024,3,0.006744
2024,4,-0.00643
2024,5,0.005553
2024,6,0.011146
2024,7,0.005555
2024,8,0.004614
2024,9,0.00088
2024,10,0.010213
2024,11,-0.035748
2024,12,0.007443
2025,1,0.043185
2025,2,0.013578
2025,3,0.002247
2025,4,0.0
2025,5,0.0
2025,6,0.012749
2025,7,0.0
