year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.147351,-0.043635,464,0.706897,1.129
2010,0.164262,-0.047637,325,0.707692,1.219
2011,-0.049314,-0.110329,322,0.664596,0.946
2012,-0.009087,-0.093357,143,0.664336,0.977
2013,-0.02863,-0.045279,106,0.613208,0.908
2014,0.07385,-0.030876,61,0.754098,1.6
2015,0.349161,-0.011908,375,0.72,1.376
2016,0.117471,-0.043618,194,0.726804,1.261
2017,0.074838,-0.008536,78,0.717949,1.516
2018,0.017042,-0.039274,71,0.661972,1.108
2019,0.012152,-0.010632,28,0.714286,1.202
2020,0.05176,-0.015949,123,0.699187,1.192
2021,0.000926,-0.02127,17,0.588235,1.028
2022,-0.001472,-0.055174,231,0.65368,1.003
2023,0.013048,-0.024271,94,0.659574,1.061
2024,0.030912,-0.035703,52,0.692308,1.245
2025,0.073208,0.0,52,0.75,1.724
